Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-12-25,615.0,615.0,615.0,"615,00","2,50",5.0,3.075,3.075,615.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-03-01,615.0,615.0,615.0,"615,00","0,00",344.0,211.56,211.56,615.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-09-07,400.0,400.0,400.0,"400,00","-34,96",8.0,3.2,3.2,400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-11-02,520.0,520.0,520.0,"520,00","30,00",16.0,8.32,8.32,520.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-02-19,600.0,600.0,600.0,"600,00","15,38",750.0,450.0,450.0,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-04-20,600.0,600.0,600.0,"600,00","0,00",157.0,94.2,94.2,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-11-02,700.0,700.0,700.0,"700,00","16,67",95.0,66.5,66.5,700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-11-08,700.0,700.0,700.0,"700,00","0,00",64.0,44.8,44.8,700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-03-20,700.0,700.0,700.0,"700,00","0,00",182.0,127.4,127.4,700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-05-17,700.0,700.0,700.0,"700,00","0,00",136.0,95.2,95.2,700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-05-20,700.0,700.0,700.0,"700,00","0,00",600.0,420.0,420.0,700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-05-21,700.0,700.0,700.0,"700,00","0,00",1.395,976.5,976.5,700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-07-15,600.0,600.0,600.0,"600,00","-14,29",6.0,3.6,3.6,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-01-05,600.0,600.0,600.0,"600,00","0,00",14.0,8.4,8.4,600.0,45.629091162885814,HOLD,66.66666666666667,,HOLD,-33.333333333333336,HOLD,,HOLD,98.72089086189384,SELL,625.0,637.9008891135735,645.952380952381,SELL,SELL,SELL
2022-06-08,450.0,450.0,450.0,"450,00","-25,00",48.0,21.6,21.6,450.0,31.100203806066034,HOLD,16.666666666666668,,BUY,-83.33333333333333,BUY,,HOLD,94.8664184230505,SELL,613.2142857142857,612.8474372317637,622.6190476190476,SELL,SELL,SELL
2022-11-04,600.0,600.0,600.0,"600,00","33,33",6.0,3.6,3.6,600.0,48.69351195339277,HOLD,66.66666666666667,50.0,HOLD,-33.333333333333336,HOLD,,HOLD,94.89960849107432,SELL,612.1428571428571,611.1344456008619,620.8571428571428,SELL,SELL,SELL
2023-01-05,450.0,450.0,450.0,"450,00","-25,00",30.0,13.5,13.5,450.0,38.19133948236663,HOLD,0.0,27.777777777777782,BUY,-100.0,BUY,,HOLD,93.17604739737622,SELL,615.7142857142857,589.6498528540803,599.2380952380953,SELL,SELL,SELL
2023-05-31,350.0,350.0,350.0,"350,00","-22,22",174.0,60.9,60.9,350.0,33.07048907103834,HOLD,0.0,22.222222222222225,BUY,-100.0,BUY,,HOLD,83.92770695497822,SELL,603.5714285714286,557.696539140203,563.8095238095237,SELL,SELL,SELL
